guard violation: {'reason': 'velocity', 'requested': 1.0, 'clamped': 0.041625, 'axis': 'gripper', 'seq': 1}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03783499822020531, 'joint': 7, 'seq': 2}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03783499822020531, 'joint': 8, 'seq': 3}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.037334997206926346, 'joint': 7, 'seq': 4}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.037334997206926346, 'joint': 8, 'seq': 5}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.036834996193647385, 'joint': 7, 'seq': 6}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.036834996193647385, 'joint': 8, 'seq': 7}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03633499518036842, 'joint': 7, 'seq': 8}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03633499518036842, 'joint': 8, 'seq': 9}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03583499416708946, 'joint': 7, 'seq': 10}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03583499416708946, 'joint': 8, 'seq': 11}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0353349931538105, 'joint': 7, 'seq': 12}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0353349931538105, 'joint': 8, 'seq': 13}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03483499214053154, 'joint': 7, 'seq': 14}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03483499214053154, 'joint': 8, 'seq': 15}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03433499112725258, 'joint': 7, 'seq': 16}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03433499112725258, 'joint': 8, 'seq': 17}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03383499011397362, 'joint': 7, 'seq': 18}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03383499011397362, 'joint': 8, 'seq': 19}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.033334989100694656, 'joint': 7, 'seq': 20}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.033334989100694656, 'joint': 8, 'seq': 21}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.032834988087415695, 'joint': 7, 'seq': 22}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.032834988087415695, 'joint': 8, 'seq': 23}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.032334987074136734, 'joint': 7, 'seq': 24}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.032334987074136734, 'joint': 8, 'seq': 25}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03183498606085777, 'joint': 7, 'seq': 26}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03183498606085777, 'joint': 8, 'seq': 27}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03133498504757881, 'joint': 7, 'seq': 28}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.03133498504757881, 'joint': 8, 'seq': 29}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.030834985896945, 'joint': 7, 'seq': 30}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.030834985896945, 'joint': 8, 'seq': 31}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.030334986746311188, 'joint': 7, 'seq': 32}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.030334986746311188, 'joint': 8, 'seq': 33}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.029834987595677376, 'joint': 7, 'seq': 34}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.029834987595677376, 'joint': 8, 'seq': 35}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.029334988445043564, 'joint': 7, 'seq': 36}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.029334988445043564, 'joint': 8, 'seq': 37}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.028834989294409752, 'joint': 7, 'seq': 38}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.028834989294409752, 'joint': 8, 'seq': 39}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02833499014377594, 'joint': 7, 'seq': 40}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02833499014377594, 'joint': 8, 'seq': 41}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.027834990993142128, 'joint': 7, 'seq': 42}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.027834990993142128, 'joint': 8, 'seq': 43}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.027334991842508316, 'joint': 7, 'seq': 44}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.027334991842508316, 'joint': 8, 'seq': 45}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.026834992691874504, 'joint': 7, 'seq': 46}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.026834992691874504, 'joint': 8, 'seq': 47}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.026334993541240692, 'joint': 7, 'seq': 48}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.026334993541240692, 'joint': 8, 'seq': 49}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02583499439060688, 'joint': 7, 'seq': 50}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02583499439060688, 'joint': 8, 'seq': 51}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.025334995239973068, 'joint': 7, 'seq': 52}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.025334995239973068, 'joint': 8, 'seq': 53}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.024834996089339256, 'joint': 7, 'seq': 54}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.024834996089339256, 'joint': 8, 'seq': 55}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.024334996938705444, 'joint': 7, 'seq': 56}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.024334996938705444, 'joint': 8, 'seq': 57}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.023834997788071632, 'joint': 7, 'seq': 58}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.023834997788071632, 'joint': 8, 'seq': 59}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02333499863743782, 'joint': 7, 'seq': 60}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02333499863743782, 'joint': 8, 'seq': 61}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02283499948680401, 'joint': 7, 'seq': 62}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02283499948680401, 'joint': 8, 'seq': 63}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.022335000336170197, 'joint': 7, 'seq': 64}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.022335000336170197, 'joint': 8, 'seq': 65}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.021835001185536385, 'joint': 7, 'seq': 66}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.021835001185536385, 'joint': 8, 'seq': 67}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.021335002034902573, 'joint': 7, 'seq': 68}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.021335002034902573, 'joint': 8, 'seq': 69}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02083500288426876, 'joint': 7, 'seq': 70}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02083500288426876, 'joint': 8, 'seq': 71}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02033500373363495, 'joint': 7, 'seq': 72}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.02033500373363495, 'joint': 8, 'seq': 73}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.019835004583001137, 'joint': 7, 'seq': 74}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.019835004583001137, 'joint': 8, 'seq': 75}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.019335005432367325, 'joint': 7, 'seq': 76}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.019335005432367325, 'joint': 8, 'seq': 77}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.018835006281733513, 'joint': 7, 'seq': 78}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.018835006281733513, 'joint': 8, 'seq': 79}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0183350071310997, 'joint': 7, 'seq': 80}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0183350071310997, 'joint': 8, 'seq': 81}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.01783500798046589, 'joint': 7, 'seq': 82}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.01783500798046589, 'joint': 8, 'seq': 83}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.017335008829832077, 'joint': 7, 'seq': 84}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.017335008829832077, 'joint': 8, 'seq': 85}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.016835009679198265, 'joint': 7, 'seq': 86}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.016835009679198265, 'joint': 8, 'seq': 87}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.016335010528564453, 'joint': 7, 'seq': 88}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.016335010528564453, 'joint': 8, 'seq': 89}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.01583501137793064, 'joint': 7, 'seq': 90}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.01583501137793064, 'joint': 8, 'seq': 91}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.015335011295974255, 'joint': 7, 'seq': 92}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.015335011295974255, 'joint': 8, 'seq': 93}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.014835011214017868, 'joint': 7, 'seq': 94}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.014835011214017868, 'joint': 8, 'seq': 95}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.014335011132061481, 'joint': 7, 'seq': 96}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.014335011132061481, 'joint': 8, 'seq': 97}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.013835011050105095, 'joint': 7, 'seq': 98}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.013835011050105095, 'joint': 8, 'seq': 99}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.013335010968148708, 'joint': 7, 'seq': 100}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.013335010968148708, 'joint': 8, 'seq': 101}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.012835010886192322, 'joint': 7, 'seq': 102}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.012835010886192322, 'joint': 8, 'seq': 103}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.012335010804235935, 'joint': 7, 'seq': 104}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.012335010804235935, 'joint': 8, 'seq': 105}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.011835010722279549, 'joint': 7, 'seq': 106}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.011835010722279549, 'joint': 8, 'seq': 107}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.011335010640323162, 'joint': 7, 'seq': 108}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.011335010640323162, 'joint': 8, 'seq': 109}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.010835010558366776, 'joint': 7, 'seq': 110}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.010835010558366776, 'joint': 8, 'seq': 111}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.010335010476410389, 'joint': 7, 'seq': 112}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.010335010476410389, 'joint': 8, 'seq': 113}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.009835010394454002, 'joint': 7, 'seq': 114}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.009835010394454002, 'joint': 8, 'seq': 115}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.009335010312497616, 'joint': 7, 'seq': 116}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.009335010312497616, 'joint': 8, 'seq': 117}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00883501023054123, 'joint': 7, 'seq': 118}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00883501023054123, 'joint': 8, 'seq': 119}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.008335010148584843, 'joint': 7, 'seq': 120}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.008335010148584843, 'joint': 8, 'seq': 121}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.007835010066628456, 'joint': 7, 'seq': 122}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.007835010066628456, 'joint': 8, 'seq': 123}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0073350099846720695, 'joint': 7, 'seq': 124}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0073350099846720695, 'joint': 8, 'seq': 125}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.006835009902715683, 'joint': 7, 'seq': 126}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.006835009902715683, 'joint': 8, 'seq': 127}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.006335009820759296, 'joint': 7, 'seq': 128}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.006335009820759296, 'joint': 8, 'seq': 129}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00583500973880291, 'joint': 7, 'seq': 130}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00583500973880291, 'joint': 8, 'seq': 131}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.005335009656846523, 'joint': 7, 'seq': 132}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.005335009656846523, 'joint': 8, 'seq': 133}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.004835009574890137, 'joint': 7, 'seq': 134}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.004835009574890137, 'joint': 8, 'seq': 135}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00433500949293375, 'joint': 7, 'seq': 136}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00433500949293375, 'joint': 8, 'seq': 137}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0038350094109773636, 'joint': 7, 'seq': 138}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0038350094109773636, 'joint': 8, 'seq': 139}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.003335009329020977, 'joint': 7, 'seq': 140}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.003335009329020977, 'joint': 8, 'seq': 141}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0028350092470645905, 'joint': 7, 'seq': 142}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0028350092470645905, 'joint': 8, 'seq': 143}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.002335009165108204, 'joint': 7, 'seq': 144}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.002335009165108204, 'joint': 8, 'seq': 145}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0018350090831518173, 'joint': 7, 'seq': 146}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0018350090831518173, 'joint': 8, 'seq': 147}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0013350090011954308, 'joint': 7, 'seq': 148}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0013350090011954308, 'joint': 8, 'seq': 149}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0008350089774467051, 'joint': 7, 'seq': 150}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.0008350089774467051, 'joint': 8, 'seq': 151}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00033500895369797945, 'joint': 7, 'seq': 152}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.00033500895369797945, 'joint': 8, 'seq': 153}
guard violation: {'reason': 'velocity', 'requested': 0.0, 'clamped': 0.958375, 'axis': 'gripper', 'seq': 154}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0021649999544024467, 'joint': 7, 'seq': 155}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0021649999544024467, 'joint': 8, 'seq': 156}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0026650000363588333, 'joint': 7, 'seq': 157}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0026650000363588333, 'joint': 8, 'seq': 158}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.00316500011831522, 'joint': 7, 'seq': 159}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.00316500011831522, 'joint': 8, 'seq': 160}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0036650002002716064, 'joint': 7, 'seq': 161}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.0036650002002716064, 'joint': 8, 'seq': 162}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.004165000282227993, 'joint': 7, 'seq': 163}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.004165000282227993, 'joint': 8, 'seq': 164}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.00466500036418438, 'joint': 7, 'seq': 165}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.00466500036418438, 'joint': 8, 'seq': 166}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.005165000446140766, 'joint': 7, 'seq': 167}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.005165000446140766, 'joint': 8, 'seq': 168}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.005665000528097153, 'joint': 7, 'seq': 169}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.005665000528097153, 'joint': 8, 'seq': 170}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.006165000610053539, 'joint': 7, 'seq': 171}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.006165000610053539, 'joint': 8, 'seq': 172}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.006665000692009926, 'joint': 7, 'seq': 173}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.006665000692009926, 'joint': 8, 'seq': 174}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.007165000773966312, 'joint': 7, 'seq': 175}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.007165000773966312, 'joint': 8, 'seq': 176}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.007665000855922699, 'joint': 7, 'seq': 177}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.007665000855922699, 'joint': 8, 'seq': 178}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.008165000937879086, 'joint': 7, 'seq': 179}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.008165000937879086, 'joint': 8, 'seq': 180}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.008665001019835472, 'joint': 7, 'seq': 181}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.008665001019835472, 'joint': 8, 'seq': 182}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.009165001101791859, 'joint': 7, 'seq': 183}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.009165001101791859, 'joint': 8, 'seq': 184}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.009665001183748245, 'joint': 7, 'seq': 185}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.009665001183748245, 'joint': 8, 'seq': 186}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.010165001265704632, 'joint': 7, 'seq': 187}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.010165001265704632, 'joint': 8, 'seq': 188}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.010665001347661018, 'joint': 7, 'seq': 189}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.010665001347661018, 'joint': 8, 'seq': 190}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.011165001429617405, 'joint': 7, 'seq': 191}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.011165001429617405, 'joint': 8, 'seq': 192}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.011665001511573792, 'joint': 7, 'seq': 193}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.011665001511573792, 'joint': 8, 'seq': 194}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.012165001593530178, 'joint': 7, 'seq': 195}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.012165001593530178, 'joint': 8, 'seq': 196}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.012665001675486565, 'joint': 7, 'seq': 197}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.012665001675486565, 'joint': 8, 'seq': 198}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.013165001757442951, 'joint': 7, 'seq': 199}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.013165001757442951, 'joint': 8, 'seq': 200}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.013665001839399338, 'joint': 7, 'seq': 201}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.013665001839399338, 'joint': 8, 'seq': 202}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.014165001921355724, 'joint': 7, 'seq': 203}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.014165001921355724, 'joint': 8, 'seq': 204}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.014665002003312111, 'joint': 7, 'seq': 205}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.014665002003312111, 'joint': 8, 'seq': 206}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.015165002085268497, 'joint': 7, 'seq': 207}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.015165002085268497, 'joint': 8, 'seq': 208}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.015665002167224884, 'joint': 7, 'seq': 209}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.015665002167224884, 'joint': 8, 'seq': 210}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.016165001317858696, 'joint': 7, 'seq': 211}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.016165001317858696, 'joint': 8, 'seq': 212}
guard violation: {'reason': 'velocity', 'requested': 0.03999999910593033, 'clamped': 0.016665000468492508, 'joint': 7, 'seq': 213}
